Наименование;Цена;Ед.;Артикул
    Кольца поршн 100,5 толст КЕНО !!!;1 589,00 руб.;компл;395712
    Кольца поршн 100,5 толст СТК !!!;1 784,00 руб.;компл;395713
    Кольца поршн 95,5 толст ГАЗ G-part;1 628,00 руб.;компл;395714
    Кольцо компрессора ПАЗ диам 72мм (к-т);480,00 руб.;компл;395715
    Комбинация приборов ПАЗ-3205,ЗИЛ-4331 12В н/о (тахом с приборами);3 820,00 руб.;шт;395716
    Компрессор МАЗ ЯМЗ-7511 (1 цил.270 л/мин) со шкивом _;12 147,00 руб.;шт;395717
    Компрессор ПАЗ 1 цил, водян охл.под шкив 245.дв.,ЗМЗ-5234 Хмельницк КХ 29.05.000 П/2 ;10 395,00 руб.;шт;395718
    Кран тормозной ПАЗ 3205 обратного действия с ручн.упр ПОЛТАВА;3 039,00 руб.;шт;395719
    Краник блока ЗИЛ большой (слива воды) ООО;248,00 руб.;шт;395720
    Крестовина Камаз-65115 в сб малая под стоп.кольцо (ф48 мм, длина 135 мм);980,00 руб.;шт;395721
    Кронштейн зеркала ПАЗ наруж прав (верх);400,00 руб.;шт;395722
    Кронштейн компрессора ПАЗ 3205 бенз дв.(Хмельницк);2 350,00 руб.;шт;395723
    Крышка подшипника первич вала КПП ЗИЛ-130 в сб;1 671,00 руб.;шт;395724
    Крышка расширительного бачка ПАЗ ВЕКТОР (ТИМЕР) (резьба как 3302);164,00 руб.;шт;395725
"    Лист рессоры ЗИЛ-5301 ""Бычок"" зад 1-й !!!";1 750,00 руб.;шт;395726
    Манжета кольцевая Д38 ПАЗ;8,00 руб.;шт;395727
    Мембрана тормозной камеры Тип 16 (диафрагма);116,00 руб.;шт;395728
    Мембрана тормозной камеры Тип-20 (диафрагма) ;167,00 руб.;шт;395729
    Мембрана тормозной камеры Тип-24 (диафрагма) Вакуум 3309;205,00 руб.;шт;395730
    Металлорукав короткий ПАЗ 45 см (ф60мм);1 260,00 руб.;шт;395731
    Модуль управления светотехникой ПАЗ Вектор Некст;2 260,00 руб.;шт;395732
    Молдинг боковины ПАЗ правой задний (2,43 м) _;235,00 руб.;шт;395733
    Муфта соединительная КПП ПАЗ;302,00 руб.;шт;395734
    Накладка торм ЗИЛ 130 шир 140 мм толщ 21х16 мм короткая не сверлен;188,00 руб.;шт;395735
    Накладка торм ПАЗ 3205/3204 мост Канаш шир 100 мм (1 шт) толщ 17х12 мм ;229,00 руб.;шт;395736
    Наконечник молдинга ПАЗ прав/лев (пластм);62,00 руб.;шт;395737
    Наконечник рул Вектор ПАЗ попер тяги правый (Газон Некст 10т);9 861,00 руб.;шт;395738
    Направляющая молдинга ПАЗ длинная (2,5 м);185,00 руб.;шт;395739
    Насос ГУР ПАЗ (с бачком и шкивом) (ШНКФ 3205-3407010);10 708,00 руб.;шт;395740
    Насос дополн отопит ПАЗ 24 Вольт ф 38 мм _;5 555,00 руб.;шт;395741
    Насос ручной топливный 245 дв  сталь Бычок;870,00 руб.;шт;395742
    Насос топливный 245 дв низкого давл Е2 без отв под эл клап (Ярославль);2 140,00 руб.;шт;395743
    Насос топливный 245 дв низкого давл Е2 с отв под эл/магнит (Ярославль);2 525,00 руб.;шт;395744
    Обмотка генератора ПАЗ 95А (статор);1 650,00 руб.;шт;395745
    Ограничитель двери ПАЗ пассажирской (пластина-упор);177,00 руб.;шт;395746
    Опора двери ПАЗ пассажирск нижн;195,00 руб.;шт;395747
    Ось дополнительной пружины ПАЗ;697,00 руб.;шт;395748
    Палец дополнит.пружины ПАЗ;520,00 руб.;шт;395749
    Палец крепления силового цил.ПАЗ;349,00 руб.;шт;395750
    Палец рул ПАЗ, 4331 (Бычок) Рязань с вкладыш с  пыльник (к-т 2 пальца) ;770,00 руб.;компл;395751
    Палец стойки стабилизатора ПАЗ-4230 Аврора!!!!;380,00 руб.;шт;395752
    Панель габаритная ПАЗ средняя _;190,00 руб.;шт;395753
    Панель передка ПАЗ угловая прав с кроншт под фару _;2 850,00 руб.;шт;395754
    Панель фарная ПАЗ лев пластмасс _;442,00 руб.;шт;395755
    Панель фарная ПАЗ пластмасс прав _;680,00 руб.;шт;395756
    Патрубок радиатора ПАЗ Вектор 534 дв нижний;330,00 руб.;шт;395757
    Переключатель клавиша 3110, ПАЗ плафона водит;328,00 руб.;шт;395758
    Переключатель клавиша 3110, ПАЗ Свет салона (3 конт);310,00 руб.;шт;395759
    Переключатель клавиша ПАЗ вентил отопителя салона (6 конт);449,00 руб.;шт;395760
    Переключатель клавиша ПАЗ обогр лобового стекла;372,00 руб.;шт;395761
    Переключатель клавиша ПАЗ омывания стекла;323,00 руб.;шт;395762
    Переключатель клавиша ПАЗ откр.пасс.двери;420,00 руб.;шт;395763
    Переключатель клавиша ПАЗ с/о;440,00 руб.;шт;395764
    Переключатель клавиша ПАЗ свет салона;328,00 руб.;шт;395765
    Переключатель поворота ПАЗ Вектор Некст 24В;2 262,00 руб.;шт;395766
    Переключатель поворота ПАЗ подрулевой;895,00 руб.;шт;395767
    Переключатель стеклооч ПАЗ Вектор Некст 24В;1 520,00 руб.;шт;395768
    Планка кронштейна насоса ГУР ПАЗ 3205;83,00 руб.;шт;395769
    Плафон салона ПАЗ прямоугольный 2902-3714 (12В);302,00 руб.;шт;395770
    Пневмораспределитель мех-ма откр дверей ПАЗ ПР-12-П 12В;4 680,00 руб.;шт;395771
